course_id,course_title,is_paid,price,num_subscribers,num_lectures,content_duration,published_timestamp,subject
119276,FullPage: The Complete Guide to Flat Websites,TRUE,20,16,22,1.5,2013-12-01T04:10:23Z,Business Finance
121490,Surviving Introduction to Finance,TRUE,25,148,15,1.5,2013-11-15T17:53:03Z,Business Finance
123242,Learning Bootstrap 3 - Tutorial From Infinite Skills,TRUE,20,817,13,0.633333333,2013-11-18T08:27:35Z,Graphic Design
123566,Create and Deploy a Web App in 3 Hours,FALSE,0,1362,13,3,2014-02-06T03:58:39Z,Business Finance
125162,Comprehensive JavaScript Programming,TRUE,50,1266,50,3,2013-11-21T23:53:03Z,Web Development
125806,Big Data and Apache Hadoop for Developers - Fundamentals,TRUE,50,4123,34,3.5,2013-12-04T22:49:28Z,Web Development
128384,Learn Responsive Web Development from Scratch,TRUE,20,6760,27,3,2013-11-26T23:59:20Z,Web Development
128946,Learn to Build Websites using Twitter Bootstrap,TRUE,30,1154,9,3,2013-12-10T09:14:57Z,Web Development
128950,Aprende a Ganar Dinero en la Bolsa,FALSE,0,59639,24,4.5,2013-12-09T12:16:40Z,Web Development
129274,Practical PHP: Master the Basics and Code Dynamic Websites,FALSE,0,15134,12,2.5,2014-04-14T07:51:24Z,Web Development
130064,HTML and CSS for Beginning Web Developers,TRUE,30,112,42,4,2013-12-11T15:06:56Z,Business Finance
130168,Financial Modeling in Excel for Startups,FALSE,0,83737,45,6.5,2014-07-19T03:02:05Z,Web Development
130298,Trading: High-ROI Trading,TRUE,100,1606,73,9,2013-12-13T18:19:58Z,Web Development
130366,Web Hosting Fundamentals,TRUE,50,1334,54,6,2014-01-05T03:44:26Z,Business Finance
130694,Inside Drum Technique,TRUE,190,126,47,12.5,2014-02-05T19:02:33Z,Business Finance
131512,Piano With A Pro,TRUE,20,1867,8,0.616666667,2013-12-08T07:15:28Z,Web Development
131562,Basic Piano Hymn Playing,TRUE,50,406,25,2,2013-12-13T10:01:14Z,Musical Instruments
132570,Play Guitar with Rhythm - 5 Easy Lessons,TRUE,25,66,38,2.5,2014-05-05T20:37:22Z,Musical Instruments
132878,Strumming the Guitar - 5 Lessons on Strum Patterns,TRUE,20,1842,28,1.5,2013-12-12T07:09:21Z,Musical Instruments
132950,Stock Market Investing for Beginners,TRUE,20,31,10,1,2013-12-12T23:29:50Z,Musical Instruments
133536,Web Elements Design With Photoshop,TRUE,20,56,10,0.633333333,2013-12-13T01:34:44Z,Musical Instruments
133968,Ruby on Rails: Training and Skills to Build Web Applications,FALSE,0,50855,15,1.5,2013-12-25T19:53:34Z,Business Finance
134144,Learn Drawing and Painting a Landscape with Oil Colours,TRUE,45,5072,44,5,2014-10-21T19:18:12Z,Graphic Design
134690,Triple P Trading Course,TRUE,95,9375,43,7,2014-01-10T18:41:55Z,Web Development
136244,Web Application Development - Learn by Building 3 Web Apps,TRUE,20,51,20,2,2014-01-14T20:01:11Z,Graphic Design
137650,Accounting Concepts For Technocrats,TRUE,20,797,16,3,2013-12-24T04:53:53Z,Business Finance
138004,Get great playing HARMONICA - a fun new leisure time hobby !,TRUE,30,1688,29,1.5,2014-06-23T08:06:43Z,Web Development
138228,Piano The Hard Way -  Fast Way To Life Long Piano Enjoyment,TRUE,20,261,35,2.5,2013-12-26T12:41:50Z,Business Finance
138336,Credit Repair from a Financial Institution,TRUE,35,2543,17,2,2014-02-12T17:15:13Z,Musical Instruments
138560,How to play easy tunes on the harmonica - just the basics,TRUE,25,238,22,1,2014-02-19T03:46:50Z,Musical Instruments
139772,Play tunes on harmonica and learn how to bend some notes,TRUE,20,157,9,2.5,2014-01-14T23:22:43Z,Business Finance
139778,Learn to improvise on your harmonica - in nice easy steps,TRUE,35,79,15,1.5,2014-02-25T19:47:53Z,Musical Instruments
139784,Starting to play the blues on your harmonica in easy steps ,TRUE,35,73,16,2,2014-03-09T22:32:54Z,Musical Instruments
139788,Bending the blue notes to give you killer sound on harmonica,TRUE,35,98,15,2,2014-03-16T18:28:46Z,Musical Instruments
139790,Learn to play tunes by ear on harmonica - no written music,TRUE,35,71,16,2,2014-03-01T18:53:36Z,Musical Instruments
139792,Killer Harmonica sounds using the tongue and bending notes ,TRUE,35,162,14,2,2014-03-02T13:14:08Z,Musical Instruments
139794,"Learn to Play Tarrega, Bach, and Sor on Classical Guitar",TRUE,35,73,15,2,2014-03-23T15:23:01Z,Musical Instruments
140168,Become a Professional Web Developer | Version 3.0,TRUE,35,80,16,2,2014-03-17T15:18:34Z,Musical Instruments
140238,Adobe Illustrator CC for beginners,TRUE,195,556,27,4,2014-01-27T23:26:57Z,Musical Instruments
140368,Improved SEO with Rich Snippets and MicroData,TRUE,200,6851,454,60,2014-01-21T12:31:24Z,Web Development
142666,Code a Responsive Website Using HTML5 and CSS for Beginners,TRUE,20,270,118,8,2014-12-17T14:01:35Z,Graphic Design
143028,"YOU can Draw, Shade and Paint a Mixed Media Girl...today!",FALSE,0,11026,13,1,2014-06-09T10:35:40Z,Web Development
144222,Learn Real Graphic Design,TRUE,50,1271,110,7.5,2014-01-09T17:51:10Z,Web Development
145178,1. Principles of Simple Interest ,TRUE,30,1249,19,3,2014-01-28T02:30:26Z,Graphic Design
145220,A Year's Worth of Piano Lessons in One Weekend,TRUE,20,297,19,1.5,2014-01-17T19:51:10Z,Graphic Design
145812,2. Principles of Simple Interest - advanced problems,TRUE,20,1074,13,1,2014-01-13T20:43:46Z,Business Finance
146450,"Easy Piano Basics?- Learn Piano, No Prior Experience Needed",TRUE,20,791,16,1,2014-01-19T17:33:55Z,Web Development
146454,Aprende a tocar Guitarra RAPIDO y FACIL con Guitarsimple,TRUE,20,244,33,6,2014-04-30T19:16:10Z,Musical Instruments
146852,Blues Accelerator - 21 Days to Blues Guitar Mastery,TRUE,20,10,12,1.5,2014-01-20T21:56:35Z,Business Finance
147104,Guitar Fretboard Mastery for the Blues Guitarist,TRUE,20,377,14,1.5,2014-01-30T16:29:05Z,Musical Instruments
147174,Guitar Technique Mastery: The Ultimate Chop Building Workout,TRUE,40,57,16,4,2014-01-22T06:22:03Z,Musical Instruments
147404,JavaScript for Beginning Web Developers,TRUE,50,78,45,7,2014-01-16T17:21:49Z,Musical Instruments
147754,Become a Career Day Trader: Asian-Pacific Futures Markets,TRUE,20,257,5,1,2014-01-16T11:30:07Z,Musical Instruments
147908,Mashup - Transform a scanned sketch into a digital painting,TRUE,20,273,6,1.5,2014-01-16T17:22:04Z,Musical Instruments
148028,JavaScript for Absolute Beginners,TRUE,75,7785,33,4.5,2014-01-16T18:07:39Z,Web Development
153926,4. Ordinary Simple Annuities: The Basics,TRUE,20,146,15,1,2014-01-30T22:43:42Z,Musical Instruments
155344,Building a Search Engine in PHP & MySQL,TRUE,50,115,31,4,2014-03-16T14:36:01Z,Business Finance
155616,10.  Bonds and Bond Pricing,TRUE,20,3251,59,12,2014-01-31T20:40:36Z,Business Finance
155640,9. Sinking Funds,TRUE,20,237,17,1.5,2014-01-31T22:27:11Z,Business Finance
157336,Breakout Patterns Workshop by Pattern Trader,FALSE,0,10110,12,2.5,2014-02-03T18:07:52Z,Web Development
158140,Samuel and Co Trading - Stock & Forex Trading,TRUE,20,308,10,1,2014-02-11T18:11:55Z,Business Finance
158444,Code a personal splash page in 1 hour,TRUE,20,205,5,1,2014-02-11T18:08:38Z,Business Finance
158830,Introduction to Web Development: HTML,TRUE,60,32,15,1.5,2016-09-09T04:22:05Z,Business Finance
158934,3. Compound Interest ,TRUE,50,592,24,5.5,2014-02-10T18:12:06Z,Business Finance
159070,Create A Custom Responsive WordPress Website For A Client,TRUE,20,10610,10,1,2014-02-12T21:27:40Z,Web Development
159388,Basics of Finance and Budgeting,TRUE,20,26800,55,3,2014-02-13T20:39:33Z,Web Development
159760,Learn Building Your Own Website Without Coding,TRUE,20,570,21,2,2014-02-11T18:06:18Z,Business Finance
160322,Joomla 3 - The Basics,TRUE,95,7517,47,4.5,2014-04-21T11:35:18Z,Web Development
161986,CFP - Introduction to Financial Planning,TRUE,20,578,34,6,2014-05-19T04:02:10Z,Business Finance
162274,AngularJS JumpStart with Dan Wahlin,TRUE,50,7660,19,2,2014-03-21T01:53:04Z,Web Development
164102,Trade Recap I - A Real Look at Futures Options Markets,FALSE,0,19909,17,3,2014-02-12T01:54:02Z,Web Development
164554,Stock Trading Ninja: Complete System For Trading Success,TRUE,30,1192,38,12,2014-02-21T06:40:28Z,Business Finance
165122,6. Annuities Due and Deferred,TRUE,75,17802,113,10,2014-03-24T17:31:15Z,Web Development
165964,TRADER BOT: Introdu?o ?Linguagem MQL5,TRUE,20,3339,11,1.5,2014-02-17T09:22:13Z,Business Finance
166842,Basel II,TRUE,155,9445,38,4.5,2014-02-19T19:04:28Z,Business Finance
167316,How to easily Manage your WordPress Website,TRUE,20,170,16,1.5,2014-02-24T13:53:23Z,Business Finance
168358,Capital Market Immersion,TRUE,20,209,33,70,2014-03-07T15:13:45Z,Business Finance
169144,Rhythm to Rock Drum Lessons 2,TRUE,50,78,57,3.5,2014-03-06T07:16:03Z,Business Finance
169662,8. Amortization Schedules,TRUE,20,8462,21,2,2014-02-20T17:28:42Z,Web Development
171598,Fundamental Financial Math,TRUE,195,613,142,24.5,2014-02-25T15:43:53Z,Business Finance
172298,Practical Font Design,TRUE,20,21,11,1,2014-03-10T02:09:54Z,Musical Instruments
172898,Adobe Flash for Beginners - Build Flash Website From Scratch,TRUE,20,225,5,1,2014-03-19T18:30:55Z,Business Finance
172906,Aprende a invertir y deja que tu dinero trabaje para ti,TRUE,50,406,15,2.5,2014-03-04T19:36:43Z,Business Finance
